period,year,month,EW_total_individuals_SA,EW_bankruptcy_SA,EW_DRO_SA,EW_IVA_SA,EW_total_individuals_NSA,EW_bankruptcy_NSA,EW_DRO_NSA,EW_IVA_NSA,EW_IVA_approved_SA,EW_IVA_approved_NSA,EW_IVA_approved_rate_per_10000,EW_individual_rate_per_10000,EW_bankruptcy_rate_per_10000,EW_DRO_rate_per_10000,EW_IVA_rate_per_10000,EW_creditor_bankrupt_SA,EW_debtor_bankrupt_SA,EW_creditor_bankrupt_NSA,EW_debtor_bankrupt_NSA,EW_self_employed_bankrupt_SA,EW_other_bankrupt_SA,EW_self_employed_bankrupt_NSA,EW_other_bankrupt_NSA,EW_unknown_bankrupt_NSA,EW_total_IPO_IPA_NSA,EW_IPO_NSA,EW_IPA_NSA,EW_total_breathing_space_NSA,EW_standard_breathing_space_NSA,EW_mental_health_breathing_space_NSA
2000-01,2000,1,2650,1856,[z],794,2454,1781,[z],673,743,618,1.9,7.3,5.4,[z],1.9,691,1165,702,1079,[x],[x],[x],[x],1779,[x],[x],[x],[z],[z],[z]
2000-02,2000,2,2434,1736,[z],698,2514,1849,[z],665,711,726,2,7.4,5.4,[z],1.9,594,1142,538,1311,[x],[x],[x],[x],1848,[x],[x],[x],[z],[z],[z]
2000-03,2000,3,2496,1729,[z],767,2859,2038,[z],821,817,826,2,7.4,5.4,[z],2,629,1100,686,1352,[x],[x],[x],[x],2037,[x],[x],[x],[z],[z],[z]
2000-04,2000,4,2376,1655,[z],721,2205,1541,[z],664,724,701,2.1,7.3,5.3,[z],2.1,560,1095,543,998,[x],[x],[x],[x],1538,[x],[x],[x],[z],[z],[z]
2000-05,2000,5,2432,1741,[z],691,2640,1888,[z],752,574,631,2.1,7.4,5.3,[z],2.1,685,1056,775,1113,[x],[x],[x],[x],1886,[x],[x],[x],[z],[z],[z]
2000-06,2000,6,2544,1855,[z],689,2683,1998,[z],685,633,659,2.1,7.5,5.3,[z],2.1,736,1119,811,1187,[x],[x],[x],[x],1997,[x],[x],[x],[z],[z],[z]
2000-07,2000,7,2411,1778,[z],633,2450,1809,[z],641,600,653,2.1,7.4,5.3,[z],2.1,697,1081,718,1091,[x],[x],[x],[x],1805,[x],[x],[x],[z],[z],[z]
2000-08,2000,8,2410,1866,[z],544,2504,1898,[z],606,507,593,2.1,7.5,5.4,[z],2.1,716,1150,685,1213,[x],[x],[x],[x],1896,[x],[x],[x],[z],[z],[z]
2000-09,2000,9,2354,1775,[z],579,2321,1716,[z],605,575,556,2,7.4,5.3,[z],2.1,656,1119,667,1049,[x],[x],[x],[x],1713,[x],[x],[x],[z],[z],[z]
2000-10,2000,10,2450,1858,[z],592,2496,1872,[z],624,574,588,2,7.4,5.4,[z],2,674,1184,663,1209,[x],[x],[x],[x],1870,[x],[x],[x],[z],[z],[z]
2000-11,2000,11,2505,1878,[z],627,2532,1909,[z],623,642,645,1.9,7.4,5.4,[z],2,678,1200,670,1239,[x],[x],[x],[x],1908,[x],[x],[x],[z],[z],[z]
2000-12,2000,12,2449,1847,[z],602,1853,1275,[z],578,621,526,1.9,7.3,5.4,[z],2,640,1207,498,777,[x],[x],[x],[x],1274,[x],[x],[x],[z],[z],[z]
2001-01,2001,1,2323,1753,[z],570,2393,1864,[z],529,575,513,1.9,7.3,5.4,[z],1.9,629,1124,702,1162,[x],[x],[x],[x],1863,[x],[x],[x],[z],[z],[z]
2001-02,2001,2,2662,2039,[z],623,2589,2031,[z],558,609,585,1.9,7.3,5.4,[z],1.9,746,1293,638,1393,[x],[x],[x],[x],2030,[x],[x],[x],[z],[z],[z]
2001-03,2001,3,2512,1944,[z],568,2774,2197,[z],577,561,541,1.8,7.3,5.5,[z],1.8,663,1281,711,1486,[x],[x],[x],[x],2192,[x],[x],[x],[z],[z],[z]
2001-04,2001,4,2700,2131,[z],569,2633,2086,[z],547,547,548,1.7,7.4,5.6,[z],1.8,679,1452,673,1413,[x],[x],[x],[x],2084,[x],[x],[x],[z],[z],[z]
2001-05,2001,5,2472,1940,[z],532,2601,2029,[z],572,512,566,1.7,7.4,5.6,[z],1.8,637,1303,702,1327,[x],[x],[x],[x],2026,[x],[x],[x],[z],[z],[z]
2001-06,2001,6,2428,1931,[z],497,2491,2019,[z],472,468,460,1.7,7.3,5.6,[z],1.7,665,1266,732,1287,[x],[x],[x],[x],2017,[x],[x],[x],[z],[z],[z]
2001-07,2001,7,2538,2014,[z],524,2691,2138,[z],553,536,606,1.7,7.4,5.7,[z],1.7,664,1350,705,1433,[x],[x],[x],[x],2137,[x],[x],[x],[z],[z],[z]
2001-08,2001,8,2457,1951,[z],506,2520,1959,[z],561,478,544,1.7,7.4,5.7,[z],1.7,614,1337,573,1386,[x],[x],[x],[x],1957,[x],[x],[x],[z],[z],[z]
2001-09,2001,9,2425,1924,[z],501,2241,1748,[z],493,505,480,1.6,7.4,5.7,[z],1.7,588,1336,570,1178,[x],[x],[x],[x],1747,[x],[x],[x],[z],[z],[z]
2001-10,2001,10,2495,2001,[z],494,2692,2145,[z],547,488,512,1.6,7.4,5.8,[z],1.6,637,1364,663,1482,[x],[x],[x],[x],2142,[x],[x],[x],[z],[z],[z]
2001-11,2001,11,2347,1912,[z],435,2366,1934,[z],432,446,441,1.6,7.4,5.8,[z],1.6,586,1326,575,1359,[x],[x],[x],[x],1934,[x],[x],[x],[z],[z],[z]
2001-12,2001,12,2460,2014,[z],446,1830,1405,[z],425,482,411,1.5,7.4,5.8,[z],1.5,628,1386,493,912,[x],[x],[x],[x],1402,[x],[x],[x],[z],[z],[z]
2002-01,2002,1,2516,1988,[z],528,2514,2036,[z],478,525,470,1.5,7.4,5.8,[z],1.5,574,1414,634,1402,[x],[x],[x],[x],2035,[x],[x],[x],[z],[z],[z]
2002-02,2002,2,2467,1943,[z],524,2424,1959,[z],465,512,485,1.5,7.3,5.8,[z],1.5,570,1373,494,1465,[x],[x],[x],[x],1959,[x],[x],[x],[z],[z],[z]
2002-03,2002,3,2452,1965,[z],487,2437,2000,[z],437,516,494,1.5,7.2,5.8,[z],1.5,586,1379,590,1410,[x],[x],[x],[x],1998,[x],[x],[x],[z],[z],[z]
2002-04,2002,4,2431,1926,[z],505,2696,2158,[z],538,506,506,1.5,7.3,5.8,[z],1.5,556,1370,604,1554,[x],[x],[x],[x],2156,[x],[x],[x],[z],[z],[z]
2002-05,2002,5,2799,2230,[z],569,2911,2303,[z],608,556,602,1.5,7.3,5.9,[z],1.5,639,1591,681,1622,[x],[x],[x],[x],2299,[x],[x],[x],[z],[z],[z]
