period,year,month,EW_total_individuals_SA,EW_bankruptcy_SA,EW_DRO_SA,EW_IVA_SA,EW_total_individuals_NSA,EW_bankruptcy_NSA,EW_DRO_NSA,EW_IVA_NSA,EW_IVA_approved_SA,EW_IVA_approved_NSA,EW_IVA_approved_rate_per_10000,EW_individual_rate_per_10000,EW_bankruptcy_rate_per_10000,EW_DRO_rate_per_10000,EW_IVA_rate_per_10000,EW_creditor_bankrupt_SA,EW_debtor_bankrupt_SA,EW_creditor_bankrupt_NSA,EW_debtor_bankrupt_NSA,EW_self_employed_bankrupt_SA,EW_other_bankrupt_SA,EW_self_employed_bankrupt_NSA,EW_other_bankrupt_NSA,EW_unknown_bankrupt_NSA,EW_total_IPO_IPA_NSA,EW_IPO_NSA,EW_IPA_NSA,EW_total_breathing_space_NSA,EW_standard_breathing_space_NSA,EW_mental_health_breathing_space_NSA
2000-01,2000,1,2648,1847,[z],801,2454,1781,[z],673,744,618,1.9,7.3,5.4,[z],1.9,680,1167,702,1079,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-02,2000,2,2436,1738,[z],698,2514,1849,[z],665,712,726,2,7.4,5.4,[z],1.9,594,1144,538,1311,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-03,2000,3,2514,1737,[z],777,2859,2038,[z],821,816,826,2,7.4,5.4,[z],2,633,1104,686,1352,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-04,2000,4,2359,1646,[z],713,2205,1541,[z],664,724,701,2.1,7.3,5.3,[z],2.1,557,1089,543,998,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-05,2000,5,2439,1757,[z],682,2640,1888,[z],752,574,631,2.1,7.4,5.3,[z],2.1,696,1061,775,1113,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-06,2000,6,2549,1862,[z],687,2683,1998,[z],685,632,659,2.1,7.5,5.3,[z],2.1,742,1120,811,1187,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-07,2000,7,2402,1769,[z],633,2450,1809,[z],641,601,653,2.1,7.4,5.3,[z],2.1,690,1079,718,1091,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-08,2000,8,2406,1863,[z],543,2504,1898,[z],606,507,593,2.1,7.5,5.4,[z],2.1,714,1149,685,1213,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-09,2000,9,2360,1781,[z],579,2321,1716,[z],605,575,556,2,7.4,5.3,[z],2.1,657,1124,667,1049,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-10,2000,10,2444,1850,[z],594,2496,1872,[z],624,575,588,2,7.4,5.4,[z],2,671,1179,663,1209,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
2000-11,2000,11,2501,1875,[z],626,2532,1909,[z],623,642,645,1.9,7.4,5.4,[z],2,679,1196,670,1239,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z]
