period,year,month,EW_total_individuals_SA,EW_bankruptcy_SA,EW_DRO_SA,EW_IVA_SA,EW_total_individuals_NSA,EW_bankruptcy_NSA,EW_DRO_NSA,EW_IVA_NSA,EW_IVA_approved_SA,EW_IVA_approved_NSA,EW_IVA_approved_rate_per_10000,EW_individual_rate_per_10000,EW_bankruptcy_rate_per_10000,EW_DRO_rate_per_10000,EW_IVA_rate_per_10000,EW_creditor_bankrupt_SA,EW_debtor_bankrupt_SA,EW_creditor_bankrupt_NSA,EW_debtor_bankrupt_NSA,EW_self_employed_bankrupt_SA,EW_other_bankrupt_SA,EW_self_employed_bankrupt_NSA,EW_other_bankrupt_NSA,EW_unknown_bankrupt_NSA,EW_total_IPO_IPA_NSA,EW_IPO_NSA,EW_IPA_NSA,EW_total_breathing_space_NSA,EW_standard_breathing_space_NSA,EW_mental_health_breathing_space_NSA
2000-01,2000,1,2653,1856,[z],797,2454,1781,[z],673,746,618,1.9,7.3,5.4,[z],1.9,688,1168,702,1079,[x],[x],[x],[x],1779,[x],[x],[x],[z],[z],[z]
2000-02,2000,2,2432,1734,[z],698,2514,1849,[z],665,711,726,2,7.4,5.4,[z],1.9,594,1140,538,1311,[x],[x],[x],[x],1848,[x],[x],[x],[z],[z],[z]
2000-03,2000,3,2512,1732,[z],780,2859,2038,[z],821,822,826,2,7.4,5.4,[z],2,627,1105,686,1352,[x],[x],[x],[x],2037,[x],[x],[x],[z],[z],[z]
2000-04,2000,4,2366,1656,[z],710,2205,1541,[z],664,724,701,2.1,7.3,5.3,[z],2.1,565,1091,543,998,[x],[x],[x],[x],1538,[x],[x],[x],[z],[z],[z]
2000-05,2000,5,2426,1744,[z],682,2640,1888,[z],752,574,631,2.1,7.4,5.3,[z],2.1,682,1062,775,1113,[x],[x],[x],[x],1886,[x],[x],[x],[z],[z],[z]
2000-06,2000,6,2539,1851,[z],688,2683,1998,[z],685,626,659,2.1,7.5,5.3,[z],2.1,731,1120,811,1187,[x],[x],[x],[x],1997,[x],[x],[x],[z],[z],[z]
2000-07,2000,7,2411,1779,[z],632,2450,1809,[z],641,601,653,2.1,7.4,5.3,[z],2.1,698,1081,718,1091,[x],[x],[x],[x],1805,[x],[x],[x],[z],[z],[z]
2000-08,2000,8,2409,1865,[z],544,2504,1898,[z],606,506,593,2.1,7.5,5.4,[z],2.1,719,1146,685,1213,[x],[x],[x],[x],1896,[x],[x],[x],[z],[z],[z]
2000-09,2000,9,2361,1782,[z],579,2321,1716,[z],605,574,556,2,7.4,5.3,[z],2.1,658,1124,667,1049,[x],[x],[x],[x],1713,[x],[x],[x],[z],[z],[z]
2000-10,2000,10,2443,1851,[z],592,2496,1872,[z],624,575,588,2,7.4,5.4,[z],2,672,1179,663,1209,[x],[x],[x],[x],1870,[x],[x],[x],[z],[z],[z]
2000-11,2000,11,2509,1877,[z],632,2532,1909,[z],623,640,645,1.9,7.4,5.4,[z],2,680,1197,670,1239,[x],[x],[x],[x],1908,[x],[x],[x],[z],[z],[z]
2000-12,2000,12,2449,1846,[z],603,1853,1275,[z],578,621,526,1.9,7.3,5.4,[z],2,642,1204,498,777,[x],[x],[x],[x],1274,[x],[x],[x],[z],[z],[z]
2001-01,2001,1,2328,1758,[z],570,2393,1864,[z],529,576,513,1.9,7.3,5.4,[z],1.9,625,1133,702,1162,[x],[x],[x],[x],1863,[x],[x],[x],[z],[z],[z]
2001-02,2001,2,2663,2039,[z],624,2589,2031,[z],558,609,585,1.9,7.3,5.4,[z],1.9,745,1294,638,1393,[x],[x],[x],[x],2030,[x],[x],[x],[z],[z],[z]
2001-03,2001,3,2524,1946,[z],578,2774,2197,[z],577,563,541,1.8,7.3,5.5,[z],1.8,667,1279,711,1486,[x],[x],[x],[x],2192,[x],[x],[x],[z],[z],[z]
2001-04,2001,4,2696,2135,[z],561,2633,2086,[z],547,548,548,1.7,7.4,5.6,[z],1.8,677,1458,673,1413,[x],[x],[x],[x],2084,[x],[x],[x],[z],[z],[z]
2001-05,2001,5,2462,1936,[z],526,2601,2029,[z],572,512,566,1.7,7.4,5.6,[z],1.8,642,1294,702,1327,[x],[x],[x],[x],2026,[x],[x],[x],[z],[z],[z]
2001-06,2001,6,2427,1929,[z],498,2491,2019,[z],472,463,460,1.7,7.3,5.6,[z],1.7,663,1266,732,1287,[x],[x],[x],[x],2017,[x],[x],[x],[z],[z],[z]
2001-07,2001,7,2531,2009,[z],522,2691,2138,[z],553,537,606,1.7,7.4,5.7,[z],1.7,662,1347,705,1433,[x],[x],[x],[x],2137,[x],[x],[x],[z],[z],[z]
2001-08,2001,8,2462,1956,[z],506,2520,1959,[z],561,477,544,1.7,7.4,5.7,[z],1.7,613,1343,573,1386,[x],[x],[x],[x],1957,[x],[x],[x],[z],[z],[z]
2001-09,2001,9,2417,1915,[z],502,2241,1748,[z],493,506,480,1.6,7.4,5.7,[z],1.7,592,1323,570,1178,[x],[x],[x],[x],1747,[x],[x],[x],[z],[z],[z]
2001-10,2001,10,2496,2003,[z],493,2692,2145,[z],547,488,512,1.6,7.4,5.8,[z],1.6,636,1367,663,1482,[x],[x],[x],[x],2142,[x],[x],[x],[z],[z],[z]
2001-11,2001,11,2352,1914,[z],438,2366,1934,[z],432,445,441,1.6,7.4,5.8,[z],1.6,585,1329,575,1359,[x],[x],[x],[x],1934,[x],[x],[x],[z],[z],[z]
