"Category","Electricity","Gas"
"Q3 2012",314,325
"Q4 2012",304,313
"Q1 2013",312,334
"Q2 2013",316,341
"Q3 2013",312,334
"Q4 2013",306,323
"Q1 2014",342,346
"Q2 2014",348,360
"Q3 2014",354,368
"Q4 2014",348,360
"Q1 2015",355,375
"Q2 2015",366,389
"Q3 2015",375,386
"Q4 2015",384,382
"Q1 2016",390,388
"Q2 2016",417,408
"Q3 2016",421,407
"Q4 2016",427,410
"Q1 2017",429,414
"Q2 2017",437,417
"Q3 2017",441,414
"Q4 2017",441,410
"Q1 2018",442,413
"Q2 2018",449,415
"Q3 2018",457,414
"Q4 2018",456,400
"Q1 2019",461,406
"Q2 2019",453,396
"Q3 2019",467,400
"Q4 2019",458,383
"Q1 2020",444,371
"Q2 2020",427,363
"Q3 2020",462,395
"Q4 2020",490,398
"Q1 2021",476,445
"Q2 2021",432,351
"Q3 2021",434,357
"Q4 2021",425,359
"Q1 2022",500,391
"Q2 2022",446,346
"Q3 2022",456,341
"Q4 2022",529,379
"Q1 2023",549,426
"Q2 2023",551,421
"Q3 2023",617,481
"Q4 2023",678,551
"Q1 2024",702,586
"Q2 2024",687,582
"Q3 2024",712,596
"Q4 2024",715,581
"Q1 2025",740,614
"Q2 2025",745,632
"Q3 2025",785,651
"Q4 2025",799,651
"Q1 2026",828,679
