"
","Electricity","Gas"
"Q3 2012",464197,399183
"Q4 2012",457853,392384
"Q1 2013",495902,407462
"Q2 2013",522363,446920
"Q3 2013",520274,453115
"Q4 2013",513438,445163
"Q1 2014",496390,432850
"Q2 2014",547847,472528
"Q3 2014",567467,472386
"Q4 2014",547855,472533
"Q1 2015",532988,419614
"Q2 2015",537579,434412
"Q3 2015",517783,420738
"Q4 2015",483245,400488
"Q1 2016",476224,378432
"Q2 2016",499547,402372
"Q3 2016",525846,409539
"Q4 2016",508349,388287
"Q1 2017",515910,387008
"Q2 2017",551880,422574
"Q3 2017",560935,427226
"Q4 2017",601795,459450
"Q1 2018",596008,448886
"Q2 2018",651869,497442
"Q3 2018",647894,517529
"Q4 2018",648429,505500
"Q1 2019",644938,497505
"Q2 2019",687353,532490
"Q3 2019",669760,520672
"Q4 2019",694191,539605
"Q1 2020",715191,565784
"Q2 2020",898602,703371
"Q3 2020",803471,630813
"Q4 2020",701517,554698
"Q1 2021",692291,548757
"Q2 2021",780690,631282
"Q3 2021",820860,645908
"Q4 2021",775721,602038
"Q1 2022",842660,640464
"Q2 2022",894732,743405
"Q3 2022",853627,687549
"Q4 2022",778598,686605
"Q1 2023",663189,618893
"Q2 2023",839229,757552
"Q3 2023",1019640,888712
"Q4 2023",1005350,862163
"Q1 2024",980512,816113
"Q2 2024",1036482,860237
"Q3 2024",1071228,887823
"Q4 2024",1045302,866843
"Q1 2025",1064184,864961
"Q2 2025",1133683,926545
"Q3 2025",1130612,926134
"Q4 2025",1146497,929768
"Q1 2026",1132348,908840
