"
","Electricity","Gas"
"Q1 2006",1262262,977295
"Q2 2006",1304626,1193038
"Q3 2006",1319237,960236
"Q4 2006",1207898,786420
"Q1 2007",1294452,916758
"Q2 2007",1340904,1037027
"Q3 2007",1319237,960236
"Q4 2007",1292893,785122
"Q1 2008",1137540,835442
"Q2 2008",1194253,957895
"Q3 2008",1156049,855121
"Q4 2008",1107010,726408
"Q1 2009",1139460,872756
"Q2 2009",1173283,964017
"Q3 2009",1088577,917972
"Q4 2009",1006291,725753
"Q1 2010",910446,673453
"Q2 2010",989495,838455
"Q3 2010",953145,838550
"Q4 2010",853556,711492
"Q1 2011",865613,731139
"Q2 2011",921334,863632
"Q3 2011",869861,810519
"Q4 2011",778633,690822
"Q1 2012",799416,730130
"Q2 2012",939802,868286
"Q3 2012",930051,828896
"Q4 2012",900911,802469
"Q1 2013",981863,885314
"Q2 2013",1033605,1001657
"Q3 2013",1046378,1012132
"Q4 2013",1017147,936122
"Q1 2014",901582,836731
"Q2 2014",899088,836398
"Q3 2014",874232,807881
"Q4 2014",899088,836398
"Q1 2015",798820,716478
"Q2 2015",797683,727025
"Q3 2015",777055,702962
"Q4 2015",745404,654212
"Q1 2016",754098,653930
"Q2 2016",722246,635576
"Q3 2016",709669,616542
"Q4 2016",681195,577375
"Q1 2017",676003,570434
"Q2 2017",675411,572089
"Q3 2017",670205,561795
"Q4 2017",654923,541503
"Q1 2018",675027,554558
"Q2 2018",686385,571271
"Q3 2018",680148,564144
"Q4 2018",661339,543540
"Q1 2019",727194,598300
"Q2 2019",773627,627297
"Q3 2019",776271,604871
"Q4 2019",739947,588221
"Q1 2020",763286,614688
"Q2 2020",758871,616935
"Q3 2020",776247,587533
"Q4 2020",725814,568371
"Q1 2021",762872,603886
"Q2 2021",847977,671515
"Q3 2021",866864,657940
"Q4 2021",979224,731151
"Q1 2022",807093,628723
"Q2 2022",1095750,895456
"Q3 2022",1026517,786922
"Q4 2022",877337,698745
"Q1 2023",835452,712659
"Q2 2023",899186,788096
"Q3 2023",805795,691077
"Q4 2023",753887,609999
"Q1 2024",748000,606156
"Q2 2024",816102,656939
"Q3 2024",806508,656545
"Q4 2024",810544,669167
"Q1 2025",840630,699869
"Q2 2025",876892,713541
"Q3 2025",853271,696355
"Q4 2025",829275,685246
"Q1 2026",851701,709838
