"
","Electricity","Gas"
"Q1 2006",213,723
"Q2 2006",226,864
"Q3 2006",362,1112
"Q4 2006",457,1157
"Q1 2007",544,1389
"Q2 2007",582,1538
"Q3 2007",672,1462
"Q4 2007",859,1338
"Q1 2008",698,1003
"Q2 2008",918,810
"Q3 2008",626,571
"Q4 2008",474,280
"Q1 2009",698,226
"Q2 2009",794,573
"Q3 2009",636,613
"Q4 2009",543,382
"Q1 2010",443,151
"Q2 2010",794,311
"Q3 2010",685,305
"Q4 2010",66,46
"Q1 2011",44,20
"Q2 2011",375,146
"Q3 2011",419,128
"Q4 2011",83,35
"Q1 2012",13,2
"Q2 2012",138,33
"Q3 2012",193,51
"Q4 2012",109,18
"Q1 2013",70,9
"Q2 2013",162,29
"Q3 2013",268,40
"Q4 2013",56,6
"Q1 2014",0,0
"Q2 2014",31,12
"Q3 2014",159,29
"Q4 2014",31,12
"Q1 2015",2,1
"Q2 2015",63,20
"Q3 2015",134,27
"Q4 2015",5,1
"Q1 2016",1,1
"Q2 2016",68,31
"Q3 2016",88,20
"Q4 2016",0,1
"Q1 2017",0,0
"Q2 2017",13,0
"Q3 2017",1,3
"Q4 2017",0,0
"Q1 2018",0,0
"Q2 2018",2,0
"Q3 2018",4,0
"Q4 2018",0,0
"Q1 2019",0,3
"Q2 2019",3,3
"Q3 2019",1,3
"Q4 2019",1,2
"Q1 2020",0,1
"Q2 2020",0,0
"Q3 2020",0,0
"Q4 2020",0,0
"Q1 2021",0,0
"Q2 2021",5,0
"Q3 2021",5,0
"Q4 2021",11,0
"Q1 2022",0,2
"Q2 2022",3,1
"Q3 2022",9,3
"Q4 2022",1,0
"Q1 2023",0,0
"Q2 2023",0,0
"Q3 2023",0,0
"Q4 2023",0,0
"Q1 2024",0,0
"Q2 2024",0,0
"Q3 2024",0,0
"Q4 2024",0,0
"Q1 2025",0,0
"Q2 2025",0,0
"Q3 2025",0,0
"Q4 2025",0,0
"Q1 2026",0,0
