"Category","Total Number of Electricity customers self-disconnecting at least once","Total Number of Electricity customers self-disconnecting at least once for more than 3 hours","Total Number of Gas customers self-disconnecting at least once","Total Number of Gas customers self-disconnecting at least once for more than 3 hours"
"Q2 2022",667960,254565,386601,224471
"Q3 2022",658188,255022,299033,186806
"Q4 2022",439753,219787,599143,480573
"Q1 2023",497768,267348,646855,528370
"Q2 2023",837951,450148,480936,388165
"Q3 2023",946400,516441,384498,318193
"Q4 2023",882125,512150,592370,463519
"Q1 2024",917660,493904,694664,517869
"Q2 2024",890485,510396,445183,356681
"Q3 2024",916464,539891,400051,328740
"Q4 2024",860368,490604,624681,481002
"Q1 2025",797975,452494,667175,505961
"Q2 2025",699684,407706,370924,298568
"Q3 2025",602958,350061,275358,225222
"Q4 2025",527650,314281,412277,318931
"Q1 2026",510393,279430,426505,325140
