"
","Electricity","Gas"
"Q1 2011",41,40
"Q2 2011",40,36
"Q3 2011",40,40
"Q4 2011",41,46
"Q1 2012",36,43
"Q2 2012",32,38
"Q3 2012",35,38
"Q4 2012",37,41
"Q1 2013",35,37
"Q2 2013",34,33
"Q3 2013",34,35
"Q4 2013",35,37
"Q1 2014",39,40
"Q2 2014",39,41
"Q3 2014",39,43
"Q4 2014",39,41
"Q1 2015",39,43
"Q2 2015",39,42
"Q3 2015",38,41
"Q4 2015",39,43
"Q1 2016",38,41
"Q2 2016",39,41
"Q3 2016",39,42
"Q4 2016",40,43
"Q1 2017",38,42
"Q2 2017",38,42
"Q3 2017",37,42
"Q4 2017",38,43
"Q1 2018",37,41
"Q2 2018",35,39
"Q3 2018",35,38
"Q4 2018",36,39
"Q1 2019",32,35
"Q2 2019",35,36
"Q3 2019",36,36
"Q4 2019",37,38
"Q1 2020",36,38
"Q2 2020",34,34
"Q3 2020",36,33
"Q4 2020",34,38
"Q1 2021",36,37
"Q2 2021",32,36
"Q3 2021",31,36
"Q4 2021",30,33
"Q1 2022",34,38
"Q2 2022",28,27
"Q3 2022",38,36
"Q4 2022",44,45
"Q1 2023",47,46
"Q2 2023",46,44
"Q3 2023",51,50
"Q4 2023",58,56
"Q1 2024",58,56
"Q2 2024",55,52
"Q3 2024",53,50
"Q4 2024",52,49
"Q1 2025",47,44
"Q2 2025",44,39
"Q3 2025",41,38
"Q4 2025",41,38
"Q1 2026",40,37
