"Category","Total debt Elec & Gas (£bn)","Total arrears Elec & Gas (£bn)","Total Debt and Arrears - Elec & Gas (£bn)"
"Q1 2018",0.527,0.559,1.086
"Q2 2018",0.546,0.624,1.169
"Q3 2018",0.544,0.651,1.195
"Q4 2018",0.519,0.624,1.142
"Q1 2019",0.578,0.647,1.225
"Q2 2019",0.599,0.742,1.341
"Q3 2019",0.604,0.733,1.337
"Q4 2019",0.564,0.729,1.293
"Q1 2020",0.567,0.749,1.316
"Q2 2020",0.548,0.958,1.505
"Q3 2020",0.59,0.96,1.55
"Q4 2020",0.582,0.87,1.452
"Q1 2021",0.632,0.917,1.549
"Q2 2021",0.602,1.067,1.669
"Q3 2021",0.611,1.14,1.751
"Q4 2021",0.679,1.113,1.793
"Q1 2022",0.65,1.16,1.81
"Q2 2022",0.8,1.24,2.03
"Q3 2022",0.74,1.26,2
"Q4 2022",0.73,1.31,2.04
"Q1 2023",0.76,1.41,2.17
"Q2 2023",0.83,1.76,2.59
"Q3 2023",0.83,2.09,2.92
"Q4 2023",0.85,2.25,3.1
"Q1 2024",0.88,2.43,3.31
"Q2 2024",0.94,2.75,3.69
"Q3 2024",0.97,2.86,3.82
"Q4 2024",0.97,2.88,3.85
"Q1 2025",1.05,3.1,4.15
"Q2 2025",1.1,3.32,4.43
"Q3 2025",1.12,3.36,4.48
"Q4 2025",1.1,3.44,4.55
"Q1 2026",1.19,3.6,4.79
