date_key,indicator_value,dim_supplier,source_publisher,reference_code,indicator_code,indicator_name,unit
1997-04-01,11418.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
1997-04-01,419303.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
1997-04-01,235358.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
1997-04-01,4.9,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
1997-04-01,44.9,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
1998-04-01,9698.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
1998-04-01,420034.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
1998-04-01,246263.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
1998-04-01,3.9,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
1998-04-01,42.8,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
1999-04-01,6614.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
1999-04-01,419038.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
1999-04-01,255719.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
1999-04-01,2.6,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
1999-04-01,40.9,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
2000-04-01,-3376.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
2000-04-01,415499.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
2000-04-01,272380.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
2000-04-01,-1.2,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
2000-04-01,38.6,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
2001-04-01,461.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
2001-04-01,402239.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
2001-04-01,282756.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
2001-04-01,0.2,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
2001-04-01,35.7,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
2002-04-01,8701.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
2002-04-01,407825.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
2002-04-01,293632.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
2002-04-01,3.0,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
2002-04-01,34.8,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
2003-04-01,12296.0,,ONS,RFTM18,NET_BORROWING,General government net borrowing,£ million
2003-04-01,433154.0,,ONS,RFTM18,GROSS_DEBT,General government gross consolidated debt at nominal value,£ million
2003-04-01,308113.0,,ONS,RFTM18,GDP_CURRENT_PRICES,Gross domestic product (GDP) at current market prices,£ million
2003-04-01,4.0,,ONS,RFTM18,NET_BORROWING_PCT_GDP,Net borrowing as a percentage of GDP,percentage points
2003-04-01,35.4,,ONS,RFTM18,GROSS_DEBT_PCT_GDP,Gross consolidated debt as a percentage of GDP,percentage points
